"","ntype","x","y","z"
"SMDVL","motor",0.050550125,0.0107835,0.007198875
"SMDVR","motor",0.050392125,0.009035625,-0.009164
"URADL","motor",0.030306375,0.012373375,0.00444375
"URADR","motor",0.0309285,0.0110995,-0.00637925
"URAVL","motor",0.033150375,0.002320625,0.00468075
"URAVR","motor",0.034532875,0.00238975,-0.003801875
"URBL","sensory",0.033624375,0.007435875,0.008304875
"URBR","sensory",0.033841625,0.006132375,-0.008541875
"URXL","sensory",0.050016875,0.012886875,0.002241625
"URXR","sensory",0.050234125,0.01214625,-0.00511525
"URYDL","sensory",0.0339305,0.012166,0.004582
"URYDR","sensory",0.03477975,0.010665,-0.00685325
"URYVL","sensory",0.03229125,0.005056,0.006626125
"URYVR","sensory",0.03268625,0.00337725,-0.005974375
"AVAL","inter",0.0495725,0.00661625,0.008304875
"AVAR","inter",0.050352625,0.004730125,-0.009015875
"AVBL","inter",0.06294325,0.00503625,0.007031
"AVBR","inter",0.061906375,0.004769625,-0.009292375
"RIPL","inter",0.03485875,0.007870375,0.006290375
"AVDL","inter",0.06452325,0.005283125,0.008996125
"RIPR","inter",0.0352735,0.007021125,-0.006478
"AVDR","inter",0.064631875,0.00507575,-0.010457625
"SIBDL","motor",0.05302875,0.001264,0.006171875
"SIBVL","motor",0.05879575,-0.002458875,0.00270575
"AVEL","inter",0.0504415,0.00452275,0.00590525
"SIADR","motor",0.052604125,-0.002202125,-0.001570125
"SIADL","motor",0.054984,-0.001629375,0.002182375
"AVER","inter",0.051379625,0.003584625,-0.006013875
"SIAVR","motor",0.0687695,-0.0048585,-0.00207375
"RMEL","motor",0.037554625,0.008601125,0.007268
"RMER","motor",0.0382755,0.0070705,-0.007771625
"SIBVR","motor",0.05279175,-0.0015405,-0.001254125
"SIBDR","motor",0.05381875,0.001412125,-0.006636
"RID","modulatory",0.047409875,0.015513625,-0.002952625
"SIAVL","motor",0.065955125,-0.003327875,0.003288375
"AVL","modulatory",0.06993475,-0.004809125,0.000365375
