"","ntype","x","y","z"
"OLQVL","sensory",0.05269875,0.005649375,0.008855
"OLQVR","sensory",0.05356125,0.004470625,-0.00848125
"PLNL","sensory",1.107406875,0.005505625,0.007604375
"PLNR","sensory",1.111201875,0.006224375,-0.006540625
"PVCL","inter",1.11754125,0.009358125,0.006971875
"PVCR","inter",1.11570125,0.00859625,-0.007460625
"PVNL","modulatory",1.141878125,0.00991875,0.0046575
"PVNR","modulatory",1.15,0.013900625,-0.004125625
"PVPL","inter",1.052034375,-0.004700625,0.001538125
"PVPR","inter",1.059595625,-0.002601875,-0.003665625
"PVQL","modulatory",1.10224625,0.00865375,0.009214375
"PVQR","modulatory",1.102965,0.008783125,-0.008035625
"PVR","inter",1.130895625,0.011600625,-0.0055775
"PVT","inter",1.051171875,-0.00416875,-0.002659375
"RIAL","inter",0.073614375,0.01434625,0.008265625
"RIAR","inter",0.07426125,0.013124375,-0.0105225
"RIBL","inter",0.0891825,0.004413125,0.00865375
"RIBR","inter",0.088665,0.00330625,-0.0097175
"RICL","modulatory",0.101846875,0.0004025,0.011543125
"RICR","modulatory",0.100581875,-0.0002875,-0.011830625
"RIFL","inter",0.14234125,-0.01170125,0.003320625
"RIFR","inter",0.152964375,-0.013009375,-0.002458125
"RIGL","inter",0.164838125,-0.012549375,0.002458125
"RIGR","inter",0.169208125,-0.012836875,0.000330625
"RIH","inter",0.067634375,-0.000991875,-0.000115
"RIML","inter",0.091410625,-0.000905625,0.006396875
"RIMR","inter",0.090045,-0.002860625,-0.006684375
"RIR","inter",0.07776875,0.0010925,0.0020125
"RIS","modulatory",0.126399375,-0.01104,0.000503125
"RIVL","motor",0.092043125,0.017135,0.006368125
"RIVR","motor",0.09254625,0.016258125,-0.010364375
"RMDDL","motor",0.08018375,0.0002875,0.005620625
"RMDDR","motor",0.08058625,-0.00066125,-0.003335
"RMDL","motor",0.0729675,0.0047725,0.01175875
"RMDR","motor",0.075195625,0.002688125,-0.0113275
"RMDVL","motor",0.068036875,0.01020625,0.01403
"RMDVR","motor",0.06994875,0.007604375,-0.014676875
"RMED","motor",0.05770125,0.02228125,-0.00391
"RMEL","motor",0.054668125,0.012520625,0.01058
"RMEV","motor",0.06419875,-0.000388125,0.001681875
"RMFL","motor",0.0835475,-0.00439875,0.002544375
"RMFR","motor",0.082670625,-0.00345,0.000100625
"RMGL","modulatory",0.140975625,-0.000646875,0.01319625
"RMGR","modulatory",0.1386325,-0.002113125,-0.014849375
"RMHL","motor",0.083605,-0.00112125,0.004528125
"RMHR","motor",0.08116125,-0.00175375,-0.00020125
"SAADL","sensory",0.07682,-0.00129375,0.002084375
"SAADR","sensory",0.072263125,-0.00123625,-0.000560625
"SAAVL","sensory",0.070509375,0.013986875,0.00989
"SAAVR","sensory",0.07092625,0.011845,-0.011543125
"SDQL","sensory",0.803921875,0.012923125,-0.010709375
"SDQR","sensory",0.346825625,0.02875,0.014216875
"SMBDL","motor",0.085948125,-0.002659375,0.0035075
"SMBDR","motor",0.08656625,-0.002084375,-0.00273125
"SMBVL","motor",0.090174375,-0.00414,0.005103125
"SMBVR","motor",0.096729375,-0.00641125,-0.002314375
"SMDDL","motor",0.07345625,-0.00069,0.00353625
"SMDDR","motor",0.07776875,1.4375e-05,-0.003866875
"SMDVL","motor",0.073585625,0.0156975,0.010479375
"SMDVR","motor",0.073355625,0.013153125,-0.01334
"URADL","motor",0.044116875,0.018011875,0.00646875
"URADR","motor",0.0450225,0.0161575,-0.00928625
"URAVL","motor",0.048256875,0.003378125,0.00681375
"URAVR","motor",0.050269375,0.00347875,-0.005534375
"URBL","sensory",0.048946875,0.010824375,0.012089375
"URBR","sensory",0.049263125,0.008926875,-0.012434375
"URXL","sensory",0.072809375,0.018759375,0.003263125
"URXR","sensory",0.073125625,0.01768125,-0.00744625
"URYDL","sensory",0.0493925,0.01771,0.00667
"URYDR","sensory",0.05062875,0.015525,-0.00997625
"URYVL","sensory",0.04700625,0.00736,0.009645625
"URYVR","sensory",0.04758125,0.00491625,-0.008696875
"AVAL","inter",0.0721625,0.00963125,0.012089375
"AVAR","inter",0.073298125,0.006885625,-0.013124375
"AVBL","inter",0.09162625,0.00733125,0.010235
"AVBR","inter",0.090116875,0.006943125,-0.013526875
"AVDR","inter",0.094084375,0.00738875,-0.015223125
"RIPL","inter",0.05074375,0.011456875,0.009156875
"RIPR","inter",0.0513475,0.010220625,-0.00943
"AVER","inter",0.074793125,0.005218125,-0.008754375
"SIADL","motor",0.08004,-0.002371875,0.003176875
"SIBVR","motor",0.07684875,-0.0022425,-0.001825625
"AVDL","inter",0.09392625,0.007690625,0.013095625
"AVEL","inter",0.0734275,0.00658375,0.00859625
"SIBVL","motor",0.08558875,-0.003579375,0.00393875
"SIBDL","motor",0.07719375,0.00184,0.008984375
"RID","modulatory",0.069014375,0.022583125,-0.004298125
"SIBDR","motor",0.07834375,0.002055625,-0.00966
"SIADR","motor",0.076575625,-0.003205625,-0.002285625
"RMER","motor",0.0557175,0.0102925,-0.011313125
"SIAVL","motor",0.096010625,-0.004844375,0.004786875
"SIAVR","motor",0.1001075,-0.0070725,-0.00301875
