pre	post	type	synapses
AIML	AIAL	chemical	2
AIML	AIMR	electrical	1
AIML	ASGL	chemical	2
AIML	ASJL	chemical	2
AIML	CEPshVL	chemical	1
AIMR	AIAR	chemical	4
AIMR	ASGR	chemical	2
AIMR	ASJR	chemical	1
AIMR	ASKR	chemical	1
AIMR	AWCR	chemical	1
AINL	AFDR	chemical	1
AINL	AUAR	chemical	1
AINL	BAGL	chemical	2
AINL	CEPshDR	chemical	1
AINL	CEPshVL	chemical	1
AINL	CEPshVR	chemical	1
AINL	RIBR	chemical	1
AINR	AFDL	chemical	4
AINR	AIAR	chemical	1
AINR	AIBL	chemical	1
AINR	ASER	chemical	1
AINR	ASGR	chemical	1
AINR	ASKR	electrical	1
AINR	AUAL	chemical	2
AINR	BAGR	chemical	1
AINR	CEPshVL	chemical	1
AINR	CEPVL	chemical	1
AINR	RIBL	chemical	1
AIYL	ADFL	chemical	2
AIYL	AIZL	chemical	5
AIYL	BAGR	chemical	1
AIYL	RIAL	chemical	2
AIYL	RIBL	chemical	2
AIYL	SIBDL	chemical	1
AIYR	ADFR	chemical	1
AIYR	AIZR	chemical	3
AIYR	AUAR	chemical	1
AIYR	BAGL	chemical	1
AIYR	RIAR	chemical	1
AIYR	RIBR	chemical	3
AIZL	AIAL	chemical	1
AIZL	AIBR	chemical	4
AIZL	AIZR	electrical	2
AIZL	ASER	chemical	1
AIZL	ASHL	electrical	2
AIZL	AVER	chemical	1
AIZL	RIAL	chemical	2
AIZL	RIAR	chemical	1
AIZL	RIBL	chemical	1
AIZL	RIML	chemical	4
AIZL	SMBDL	chemical	2
AIZL	SMBVL	chemical	1
AIZR	ADFR	chemical	2
AIZR	AIAR	chemical	1
AIZR	AIBL	chemical	4
AIZR	ASGR	electrical	1
AIZR	ASHR	electrical	1
AIZR	AVEL	chemical	2
AIZR	AVER	chemical	1
AIZR	RIAR	chemical	2
AIZR	RIMR	chemical	3
AIZR	SMBDR	chemical	3
AIZR	SMBVR	chemical	4
ALA	AVEL	chemical	1
ALA	AVER	chemical	1
ALA	IL1L	chemical	1
ALML	BDUL	chemical	1
ALML	PVR	chemical	1
ALML	PVR	electrical	1
ALMR	AVDR	electrical	1
ALMR	BDUR	chemical	1
ALMR	CEPDR	chemical	1
ALMR	PVR	chemical	1
ALMR	PVR	electrical	1
ASEL	AFDR	chemical	1
ASEL	AIBL	chemical	4
ASEL	AIBR	chemical	3
ASEL	AIYL	chemical	5
ASEL	AIYR	chemical	4
ASEL	AWCL	chemical	1
ASEL	AWCR	chemical	1
ASER	AIBL	chemical	1
ASER	AIBR	chemical	6
ASER	AIYL	chemical	2
ASER	AIYR	chemical	8
ASER	AIZR	chemical	1
ASER	ASIR	chemical	1
ASER	AWBR	electrical	1
ASER	AWCR	chemical	1
ASGL	AIAL	chemical	3
ASGL	AIML	chemical	1
ASGR	AIAR	chemical	4
ASGR	AIMR	chemical	2
ASGR	ASJR	chemical	1
ASHL	ADAL	chemical	2
ASHL	AIAL	chemical	2
ASHL	AIBL	chemical	1
ASHL	ASHR	electrical	1
ASHL	AVBL	chemical	1
ASHL	AVDL	chemical	1
ASHL	RMGL	electrical	1
ASHL	SMBDL	chemical	1
ASHL	SMBVL	chemical	1
ASHR	AIAR	chemical	2
ASHR	AIBR	chemical	2
ASHR	ASKR	electrical	1
ASHR	AVAR	electrical	1
ASHR	AVBR	chemical	2
ASHR	AVDL	chemical	1
ASHR	AVHL	chemical	1
ASHR	RICR	electrical	1
ASHR	RMGR	electrical	1
ASHR	SMBVR	electrical	1
ASIL	AINR	chemical	1
ASIL	AWCL	chemical	1
ASIL	AWCR	chemical	1
ASIL	BAGR	chemical	1
ASIR	AIAR	chemical	1
ASIR	AIBR	chemical	2
ASIR	ASER	chemical	1
ASIR	AWCR	chemical	2
ASIR	CEPshVR	chemical	1
ASJL	CEPshDL	chemical	1
ASJL	PVQL	chemical	3
ASJR	AIAR	chemical	1
ASJR	ASKR	chemical	1
ASJR	PVQR	chemical	2
ASKL	AIAL	chemical	2
ASKR	AIAR	chemical	3
AUAL	AVEL	chemical	1
AUAL	RIAL	chemical	1
AUAL	RIBL	chemical	2
AUAL	URXL	chemical	1
AUAR	AVER	chemical	1
AUAR	RIAR	chemical	2
AUAR	RIBR	chemical	3
AUAR	URXR	electrical	1
AVAL	RICR	electrical	1
AVBR	RIBL	electrical	1
AVEL	URYDR	electrical	1
AVHL	ADLR	chemical	1
AVHR	ADFL	chemical	1
AVHR	AIZL	chemical	1
AVHR	BDUL	chemical	1
AVHR	DVA	chemical	1
AVHR	RIFL	chemical	1
AVJL	AVBR	chemical	1
AVJL	AVDL	chemical	1
AVJR	PVCL	chemical	1
AVJR	PVCR	chemical	1
AVKL	AVEL	chemical	1
AVKL	AVER	chemical	1
AVKL	DVC	chemical	1
AVKL	RIGL	chemical	1
AVKL	RIGR	chemical	1
AVKL	RIML	chemical	1
AVKL	RIMR	chemical	1
AVKL	RMDL	chemical	1
AVKL	SMBVR	chemical	1
AVKR	AIBR	chemical	1
AVKR	AVEL	chemical	1
AVKR	AVER	chemical	1
AVKR	PVPL	chemical	1
AVKR	RIML	chemical	1
AVKR	RIMR	chemical	2
AVKR	RMGL	chemical	1
AVKR	SAAVL	chemical	1
AWAL	ADFL	chemical	2
AWAL	ADLL	chemical	2
AWAL	AIAL	chemical	2
AWAL	AIYL	chemical	1
AWAL	AWAR	electrical	1
AWAL	AWBL	chemical	2
AWAL	PVQL	chemical	2
AWAR	ADLR	chemical	1
AWAR	AIAR	chemical	1
AWAR	AIYR	chemical	1
AWAR	ASER	chemical	2
AWAR	ASKR	chemical	1
AWAR	AWBR	chemical	3
AWBL	ADFL	chemical	1
AWBL	AIZL	chemical	2
AWBL	AVHR	chemical	1
AWBL	AWBR	electrical	1
AWBR	ADFR	chemical	2
AWBR	AIAR	chemical	1
AWBR	AIZR	chemical	1
AWBR	ASER	chemical	1
AWBR	AVHL	chemical	1
AWCL	AIAL	chemical	3
AWCL	AIAR	chemical	3
AWCL	AIBL	chemical	4
AWCL	AIBR	chemical	3
AWCL	AIYL	chemical	1
AWCR	ADLR	chemical	1
AWCR	AIAL	chemical	1
AWCR	AIAR	chemical	3
AWCR	AIBL	chemical	2
AWCR	AIBR	chemical	2
AWCR	AIYL	chemical	2
AWCR	AIYR	chemical	1
AWCR	ASER	chemical	1
AWCR	AWCL	chemical	2
BAGL	RIAR	chemical	2
BAGL	RIBL	electrical	1
BAGL	RIBR	chemical	2
BAGL	RIR	electrical	1
BAGR	AVEL	chemical	2
BAGR	RIAL	chemical	2
BAGR	RIBL	chemical	3
BDUL	AVJL	chemical	1
BDUL	BDUR	chemical	1
BDUL	GLRDR	chemical	1
BDUL	RIFL	chemical	1
BDUR	ALMR	chemical	1
CEPDL	ADAL	chemical	1
CEPDL	AVER	chemical	2
CEPDL	OLLL	chemical	1
CEPDL	RICL	chemical	2
CEPDL	RICR	chemical	1
CEPDL	SMDDR	chemical	1
CEPDL	URBL	chemical	2
CEPDL	URYDL	chemical	1
CEPDR	OLLR	chemical	1
CEPDR	RICL	chemical	1
CEPDR	RICR	chemical	1
CEPDR	SIBVR	chemical	1
CEPDR	SMDDL	chemical	1
CEPVL	AVER	chemical	2
CEPVL	OLLL	chemical	3
CEPVL	RICL	chemical	1
CEPVL	RICR	chemical	1
CEPVL	SMDVR	chemical	2
CEPVR	AVEL	chemical	3
CEPVR	OLLR	chemical	3
CEPVR	OLQVR	chemical	1
CEPVR	RICL	chemical	2
CEPVR	RICR	chemical	2
CEPVR	URYVR	chemical	1
DVA	AIZR	chemical	3
DVA	AUAL	chemical	1
DVA	AVAL	chemical	1
DVA	AVBR	chemical	1
DVA	AVEL	chemical	2
DVA	AVER	chemical	1
DVA	RIR	chemical	1
DVA	RIVR	electrical	1
DVC	ADEL	chemical	1
DVC	AIBL	chemical	1
DVC	AVAL	chemical	2
DVC	AVAR	chemical	3
DVC	AVDR	chemical	1
DVC	CEPshVL	chemical	1
DVC	RIBL	chemical	1
FLPL	ADEL	chemical	1
FLPL	ADER	chemical	1
FLPL	AVAL	chemical	1
FLPL	AVDR	chemical	1
FLPL	FLPR	electrical	1
IL1DL	BWM-DL01	chemical	1
IL1DL	BWM-DL02	chemical	1
IL1DL	IL1DR	electrical	1
IL1DL	IL1L	electrical	1
IL1DL	RIPL	chemical	2
IL1DL	RMDVL	chemical	2
IL1DL	RMEL	chemical	1
IL1DR	BWM-DR01	chemical	1
IL1DR	BWM-DR02	chemical	1
IL1DR	IL1R	chemical	1
IL1DR	RIPR	chemical	2
IL1DR	RMDVR	chemical	2
IL1L	BWM-DL02	chemical	3
IL1L	BWM-VL02	chemical	1
IL1L	IL1VL	electrical	1
IL1L	RMDDL	chemical	1
IL1L	RMDVL	chemical	2
IL1L	RMER	chemical	3
IL1R	BWM-DR02	chemical	2
IL1R	BWM-VR02	chemical	1
IL1R	IL1VR	electrical	2
IL1R	RMDDR	chemical	1
IL1R	RMDVL	chemical	1
IL1R	RMDVR	chemical	2
IL1R	RMEL	chemical	3
IL1VL	BWM-VL01	chemical	2
IL1VL	BWM-VL02	chemical	1
IL1VL	IL1VR	electrical	1
IL1VL	RIPL	chemical	1
IL1VL	RMDDL	chemical	3
IL1VL	RMEL	chemical	2
IL1VR	BWM-VR01	chemical	1
IL1VR	BWM-VR02	chemical	2
IL1VR	RIPR	chemical	2
IL1VR	RMDDR	chemical	3
IL1VR	RMER	chemical	1
IL2DL	GLRDL	chemical	1
IL2DL	RIPL	chemical	3
IL2DL	RMEL	chemical	1
IL2DL	RMER	chemical	1
IL2DL	RMEV	chemical	2
IL2DR	RIH	chemical	2
IL2DR	RIPR	chemical	1
IL2DR	RMED	chemical	1
IL2DR	RMER	chemical	1
IL2L	OLQVL	chemical	2
IL2L	RIH	chemical	2
IL2R	OLQDR	chemical	1
IL2R	OLQVR	chemical	1
IL2R	RIH	chemical	2
IL2VL	RIPL	chemical	2
IL2VL	RMED	chemical	1
IL2VL	RMEL	chemical	1
IL2VL	RMER	chemical	1
IL2VL	RMEV	chemical	1
IL2VR	RIPR	chemical	3
IL2VR	RMEL	chemical	2
IL2VR	RMER	chemical	1
IL2VR	RMEV	chemical	1
OLLL	AVER	chemical	5
OLLL	CEPDL	chemical	1
OLLL	CEPVL	chemical	2
OLLL	OLLR	electrical	2
OLLL	RIBL	chemical	3
OLLL	RIGL	electrical	1
OLLL	SMDDR	chemical	3
OLLL	SMDVR	chemical	2
OLLR	AVEL	chemical	3
OLLR	CEPDR	chemical	1
OLLR	OLQVR	electrical	1
OLLR	RIBR	chemical	3
OLLR	RIGR	electrical	1
OLLR	SMDDL	chemical	1
OLLR	SMDVL	chemical	2
OLQDL	OLQVL	electrical	1
OLQDL	RIBL	electrical	1
OLQDL	RICL	chemical	1
OLQDL	RICL	electrical	1
OLQDL	RICR	chemical	1
OLQDL	RMDDR	chemical	1
OLQDL	SIBVL	chemical	1
OLQDR	AVAR	chemical	1
OLQDR	IL2R	chemical	1
OLQDR	RICL	chemical	1
OLQDR	RICR	chemical	2
OLQVL	IL2L	chemical	2
OLQVL	RICL	chemical	1
OLQVL	RICR	chemical	1
OLQVL	RMDVR	chemical	1
OLQVR	IL2R	chemical	1
OLQVR	RICL	chemical	1
OLQVR	RICR	chemical	1
OLQVR	RIH	chemical	1
OLQVR	RMDVL	chemical	1
OLQVR	SIBDR	chemical	1
OLQVR	SMBVR	chemical	1
PVCL	AVBR	chemical	1
PVCL	AVER	chemical	1
PVCL	RIH	chemical	1
PVCL	RIS	chemical	1
PVCL	SIAVL	chemical	2
PVCL	SIAVR	chemical	1
PVCL	SIBVL	chemical	1
PVCL	SMBDR	chemical	1
PVCR	AVBL	chemical	1
PVCR	AVBR	chemical	1
PVCR	AVDR	chemical	1
PVCR	BDUR	chemical	1
PVCR	RID	chemical	1
PVPL	AVAL	chemical	1
PVPL	AVBR	chemical	2
PVPL	AVHR	chemical	1
PVPL	PVCR	chemical	1
PVPL	PVPR	electrical	1
PVPL	RID	chemical	1
PVPR	ADAR	chemical	1
PVPR	AVAL	chemical	1
PVPR	AVBR	chemical	1
PVPR	AVJL	chemical	1
PVPR	RIGR	chemical	1
PVPR	RIR	chemical	1
PVPR	URXR	chemical	1
PVQL	AIAL	chemical	3
PVQL	ASJL	chemical	2
PVQL	ASKL	chemical	2
PVQR	AIAR	chemical	4
PVQR	ASKR	chemical	1
PVQR	CEPshVR	chemical	1
PVR	AVBL	chemical	2
PVR	AVBR	chemical	1
PVR	AVJL	chemical	2
PVR	CEPVR	chemical	1
PVR	IL1VR	chemical	1
PVR	RIPL	chemical	1
PVR	RIPR	chemical	1
PVR	URADR	electrical	1
PVR	URYVR	chemical	1
PVT	AIBL	chemical	1
PVT	AVKL	chemical	1
PVT	AVKR	chemical	2
PVT	RIGL	chemical	1
PVT	RIGR	chemical	2
RIAL	CEPVL	chemical	1
RIAL	RIAR	chemical	3
RIAL	RMDDL	chemical	6
RIAL	RMDDR	chemical	5
RIAL	RMDL	chemical	3
RIAL	RMDR	chemical	2
RIAL	RMDVL	chemical	5
RIAL	RMDVR	chemical	6
RIAL	SIAVR	chemical	1
RIAL	SMDDL	chemical	3
RIAL	SMDDR	chemical	2
RIAL	SMDVL	chemical	2
RIAL	SMDVR	chemical	3
RIAR	CEPVL	chemical	1
RIAR	GLRVL	chemical	1
RIAR	RIAL	chemical	3
RIAR	RICR	chemical	1
RIAR	RMDDL	chemical	4
RIAR	RMDDR	chemical	9
RIAR	RMDL	chemical	3
RIAR	RMDR	chemical	1
RIAR	RMDVL	chemical	5
RIAR	RMDVR	chemical	6
RIAR	SIADR	chemical	1
RIAR	SIAVL	chemical	2
RIAR	SMDDL	chemical	2
RIAR	SMDDR	chemical	4
RIAR	SMDVL	chemical	4
RIAR	SMDVR	chemical	1
RIBL	AIBR	chemical	1
RIBL	AVAL	chemical	1
RIBL	AVDR	chemical	1
RIBL	AVEL	chemical	1
RIBL	AVER	chemical	1
RIBL	RIAL	chemical	1
RIBL	RIBL	electrical	1
RIBL	RIBR	electrical	3
RIBL	RIS	chemical	1
RIBL	SIAVL	electrical	1
RIBR	AVAR	chemical	2
RIBR	BAGL	chemical	2
RIBR	BAGR	chemical	1
RIBR	CEPshVR	chemical	1
RIBR	RIAR	chemical	2
RIBR	RIBR	electrical	1
RICL	ADAR	chemical	1
RICL	AVAL	chemical	2
RICL	AVAR	chemical	1
RICL	SMDDL	chemical	1
RICL	SMDDR	chemical	1
RICR	ADAL	chemical	1
RICR	AVAL	chemical	2
RICR	AVAR	chemical	2
RICR	BWM-VR04	chemical	1
RICR	CEPVR	chemical	1
RICR	RIVR	electrical	1
RICR	RMDDL	chemical	1
RICR	SMDDL	chemical	1
RICR	SMDDR	chemical	1
RID	URYDL	electrical	1
RIFL	ASHL	chemical	3
RIFL	AVBL	chemical	3
RIFL	AVEL	chemical	1
RIFL	AVJR	chemical	1
RIFL	CEPshVL	chemical	1
RIFL	PVQR	chemical	1
RIFL	RIFR	electrical	1
RIFR	ALMR	chemical	1
RIFR	ASHR	chemical	2
RIFR	AVBR	chemical	3
RIFR	AVJL	chemical	2
RIGL	AVKR	chemical	1
RIGL	BAGR	chemical	2
RIGL	CEPshVL	chemical	1
RIGL	OLQVL	chemical	1
RIGL	RIAL	chemical	3
RIGL	RIGR	electrical	1
RIGL	RIR	chemical	1
RIGL	RMGL	chemical	1
RIGL	URYDL	electrical	1
RIGL	URYVL	chemical	1
RIGL	URYVL	electrical	1
RIGR	AIBL	chemical	1
RIGR	AIZR	chemical	1
RIGR	AVEL	chemical	1
RIGR	AVKL	chemical	1
RIGR	AVKR	chemical	1
RIGR	BAGL	chemical	2
RIGR	OLQVR	chemical	1
RIGR	PVT	chemical	1
RIGR	RIBR	chemical	2
RIGR	RIR	chemical	1
RIGR	RMGR	chemical	1
RIGR	URYVR	chemical	1
RIGR	URYVR	electrical	1
RIH	AIZL	chemical	1
RIH	AIZR	chemical	2
RIH	CEPshVL	chemical	2
RIH	GLRL	chemical	2
RIH	IL2L	chemical	3
RIH	OLQDL	chemical	1
RIH	OLQDR	chemical	2
RIH	OLQVL	chemical	2
RIH	OLQVR	chemical	2
RIH	RIAL	chemical	2
RIH	RIAR	chemical	2
RIH	RIBL	chemical	2
RIH	RIPL	chemical	3
RIH	RIPR	chemical	2
RIH	RMEL	chemical	1
RIML	AIBL	chemical	1
RIML	AIBR	chemical	2
RIML	AVAR	chemical	1
RIML	AVBL	chemical	1
RIML	AVBR	chemical	2
RIML	BWM-DR04	chemical	1
RIML	BWM-VR04	chemical	1
RIML	RIBL	chemical	1
RIML	RMDR	chemical	2
RIML	SAADL	chemical	1
RIML	SMDDL	chemical	3
RIML	SMDDR	chemical	1
RIML	SMDDR	electrical	1
RIML	SMDVR	chemical	1
RIMR	AVBL	chemical	1
RIMR	BWM-DL04	chemical	1
RIMR	CEPVL	chemical	1
RIMR	RIBL	chemical	1
RIMR	RIS	chemical	1
RIMR	RMDL	chemical	5
RIMR	RMDR	chemical	1
RIMR	SAADR	chemical	1
RIMR	SAAVR	chemical	1
RIMR	SMDDL	chemical	2
RIMR	SMDDR	chemical	2
RIMR	SMDVL	chemical	1
RIMR	SMDVR	chemical	4
RIR	AIZR	chemical	1
RIR	DVA	chemical	1
RIR	PVPR	chemical	1
RIR	RIAL	chemical	2
RIR	RIAR	chemical	2
RIR	URXL	chemical	2
RIR	URXR	chemical	1
RIS	AVEL	chemical	2
RIS	AVER	chemical	3
RIS	CEPDL	chemical	1
RIS	CEPVL	chemical	1
RIS	CEPVR	chemical	1
RIS	RIBL	chemical	2
RIS	RIBR	chemical	3
RIS	SMDDL	chemical	2
RIVL	GLRVR	chemical	1
RIVL	RIH	chemical	1
RIVL	RIVR	electrical	1
RIVL	RMDDR	chemical	1
RIVL	RMDL	chemical	1
RIVL	RMDVL	chemical	1
RIVL	SAADR	chemical	2
RIVR	GLRVL	chemical	3
RIVR	GLRVR	chemical	1
RIVR	RIAL	chemical	1
RIVR	SAADL	chemical	1
RIVR	SMDDL	chemical	1
RMDDL	BWM-DR01	chemical	1
RMDDL	BWM-DR02	chemical	3
RMDDL	BWM-DR03	chemical	1
RMDDL	RMDDR	electrical	1
RMDDL	RMDVR	chemical	4
RMDDR	BWM-DL01	chemical	1
RMDDR	BWM-DL02	chemical	2
RMDDR	BWM-DL03	chemical	1
RMDDR	RMDVL	chemical	4
RMDDR	SAADR	electrical	1
RMDL	BWM-VR02	chemical	1
RMDL	IL1R	chemical	2
RMDL	IL2R	chemical	1
RMDL	RIAL	chemical	2
RMDL	RIAR	chemical	2
RMDL	RMDDL	chemical	1
RMDL	RMDDR	chemical	1
RMDL	RMDR	chemical	2
RMDL	RMDVL	chemical	1
RMDL	RMDVR	chemical	1
RMDR	BWM-DL02	chemical	2
RMDR	BWM-DL04	chemical	1
RMDR	BWM-VL02	chemical	1
RMDR	IL1L	chemical	2
RMDR	IL2L	chemical	1
RMDR	OLLL	chemical	1
RMDR	RIAL	chemical	2
RMDR	RIAR	chemical	1
RMDR	RMDL	chemical	2
RMDR	RMDVL	chemical	2
RMDR	SMDVR	electrical	1
RMDVL	BWM-VR01	chemical	1
RMDVL	BWM-VR02	chemical	2
RMDVL	BWM-VR04	chemical	2
RMDVL	RMDDR	chemical	4
RMDVR	BWM-VL01	chemical	1
RMDVR	BWM-VL02	chemical	3
RMDVR	BWM-VL03	chemical	1
RMDVR	BWM-VL04	chemical	1
RMDVR	RMDDL	chemical	3
RMDVR	SAAVR	electrical	1
RMED	BWM-VL01	chemical	4
RMED	BWM-VR01	chemical	3
RMED	BWM-VR03	chemical	2
RMED	RMDVL	chemical	6
RMED	RMDVR	chemical	2
RMED	SMDDL	chemical	1
RMED	SMDDR	chemical	1
RMEL	BWM-DR02	chemical	2
RMEL	BWM-VR02	chemical	3
RMEL	URAVR	chemical	1
RMER	BWM-DL02	chemical	2
RMER	BWM-VL02	chemical	3
RMEV	BWM-DL01	chemical	4
RMEV	BWM-DR01	chemical	1
RMEV	RMDDL	chemical	4
RMEV	RMDDR	chemical	1
RMEV	RMED	chemical	1
RMEV	SMDVR	chemical	1
RMGL	RIAL	chemical	1
RMGL	RMDR	chemical	3
RMGL	RMDVL	chemical	2
RMGR	IL1R	chemical	1
RMGR	RMDDR	chemical	1
RMGR	RMDL	chemical	2
RMGR	RMDVR	chemical	2
SAADL	AVAL	chemical	2
SAADL	RIML	chemical	2
SAADL	RIMR	chemical	2
SAADR	AVAR	chemical	3
SAADR	OLLL	chemical	1
SAADR	RIML	chemical	3
SAADR	RIMR	chemical	2
SAAVL	AVAL	chemical	1
SAAVL	RIML	chemical	1
SAAVL	RIMR	chemical	2
SAAVR	AVAR	chemical	3
SAAVR	RIML	chemical	2
SAAVR	SMDDL	chemical	1
SIBDR	SMDVL	electrical	1
SMBDL	BWM-DR01	chemical	1
SMBDL	BWM-DR03	chemical	2
SMBDL	BWM-DR05	chemical	1
SMBDL	RMDDL	chemical	1
SMBDL	RMED	chemical	2
SMBDL	SAAVR	chemical	2
SMBDR	BWM-DL01	chemical	2
SMBDR	BWM-DL02	chemical	1
SMBDR	BWM-DL03	chemical	1
SMBDR	BWM-DL04	chemical	1
SMBDR	RMED	chemical	2
SMBDR	SAAVL	chemical	1
SMBVL	BWM-VL01	chemical	1
SMBVL	BWM-VL02	chemical	2
SMBVL	BWM-VL03	chemical	1
SMBVL	BWM-VL04	chemical	2
SMBVL	GLRL	chemical	2
SMBVL	RMDVR	chemical	2
SMBVL	RMEV	chemical	1
SMBVL	SAADL	chemical	4
SMBVR	BWM-VR01	chemical	2
SMBVR	BWM-VR03	chemical	2
SMBVR	BWM-VR04	chemical	2
SMBVR	RMEV	chemical	2
SMBVR	SAADR	chemical	2
SMDDL	BWM-DL01	chemical	1
SMDDL	BWM-DR01	chemical	1
SMDDL	BWM-DR03	chemical	1
SMDDL	RIAL	chemical	3
SMDDL	RIAR	chemical	2
SMDDL	RMDR	chemical	1
SMDDL	SMDDR	electrical	1
SMDDL	SMDVR	chemical	2
SMDDR	BWM-DL01	chemical	1
SMDDR	BWM-DL03	chemical	1
SMDDR	BWM-DR03	chemical	1
SMDDR	CEPDL	chemical	2
SMDDR	RIAL	chemical	2
SMDDR	RIAR	chemical	3
SMDDR	SMDVL	chemical	1
SMDVL	BWM-VR01	chemical	1
SMDVL	BWM-VR03	chemical	1
SMDVL	RIAL	chemical	2
SMDVL	RIAR	chemical	2
SMDVL	SMDDR	chemical	1
SMDVL	SMDVR	electrical	1
SMDVR	BWM-VL01	chemical	1
SMDVR	BWM-VL03	chemical	1
SMDVR	CEPVL	chemical	1
SMDVR	RIAL	chemical	3
SMDVR	RIAR	chemical	2
SMDVR	SMDDL	chemical	1
URADL	BWM-DL01	chemical	1
URADL	BWM-DL02	chemical	2
URADL	IL1DL	chemical	2
URADL	RIPL	chemical	3
URADL	RMED	chemical	1
URADL	RMEL	chemical	2
URADR	BWM-DR01	chemical	2
URADR	BWM-DR02	chemical	1
URADR	RIPR	chemical	1
URADR	RMER	chemical	2
URAVL	BWM-VL01	chemical	2
URAVL	BWM-VL02	chemical	1
URAVL	RIPL	chemical	2
URAVL	RMEL	chemical	2
URAVL	RMEV	chemical	1
URAVR	BWM-VR01	chemical	1
URAVR	BWM-VR02	chemical	2
URAVR	RIPR	chemical	1
URAVR	RMED	chemical	1
URAVR	RMER	chemical	2
URAVR	RMEV	chemical	2
URBL	BWM-DL02	chemical	1
URBL	BWM-DL04	chemical	1
URBL	BWM-VL02	chemical	1
URBL	CEPDL	chemical	1
URBL	IL1L	chemical	1
URBL	IL2L	chemical	1
URBL	OLLL	chemical	1
URBL	URXL	chemical	2
URBR	BWM-DR02	chemical	1
URBR	CEPDR	chemical	1
URBR	IL1R	chemical	1
URBR	IL2R	chemical	2
URBR	URXR	chemical	2
URXL	ADAL	chemical	1
URXL	AUAL	chemical	2
URXL	DVA	chemical	1
URXL	OLQVL	chemical	1
URXL	RIAL	chemical	3
URXL	RICL	chemical	1
URXL	RIGL	chemical	1
URXL	RIR	chemical	1
URXR	ADAR	chemical	1
URXR	AUAR	chemical	3
URXR	RIAR	chemical	2
URXR	RICR	chemical	1
URXR	RIGR	chemical	1
URYDL	AVER	chemical	3
URYDL	RIBL	chemical	2
URYDL	RMDVL	chemical	1
URYDL	SMDDR	chemical	3
URYDR	AVEL	chemical	4
URYDR	RIBR	chemical	2
URYDR	SMDDL	chemical	3
URYVL	AVER	chemical	4
URYVL	RIBL	chemical	1
URYVL	RMDDL	chemical	3
URYVL	RMDVR	chemical	1
URYVL	SMDVR	chemical	2
URYVR	AVEL	chemical	2
URYVR	RIBR	chemical	1
